,show_name,neutral,positive,negative
0,stranger_things_df,4635,2552,265
1,lisa_df,2044,4311,224
2,for_you_df,2434,2029,457
3,game_of_thrones_df,2702,1331,225
4,the_simpsons_df,2902,310,317
5,vikings_df,2076,561,461
6,breaking_bad_df,517,115,1924
7,now_what_df,1518,389,280
8,the_walking_dead_df,341,76,1573
9,wednesday_df,1270,173,79
10,elite_df,953,171,170
11,house_of_the_dragon_df,1043,122,114
12,titans_df,990,158,128
13,supernatural_df,861,178,182
14,spy_x_family_df,824,130,23
15,manifest_df,427,116,55
16,american_horror_story_df,61,8,505
17,criminal_minds_df,96,30,395
18,rick_and_morty_df,351,33,86
19,chainsaw_man_df,123,25,286
